"","Age","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","dum_Gender","dum_Customer","dum_Class","dum_satisfaction"
"6",26,1180,3,4,2,1,1,2,1,1,3,4,4,4,4,1,0,0,0,1,0,0
"12",12,308,2,4,2,2,1,2,1,1,1,2,5,5,5,1,0,0,0,1,1,0
"14",33,946,4,2,4,3,4,4,4,4,4,5,2,2,2,4,0,0,1,1,0,1
"22",17,208,3,1,3,3,5,3,5,5,2,5,3,3,4,5,0,0,0,1,0,0
"24",58,2139,4,5,4,5,4,3,4,4,4,4,4,2,4,2,0,0,0,1,0,0
"30",22,2342,3,2,3,3,3,3,1,3,2,4,3,4,2,3,19,0,1,1,0,0
"47",22,349,2,4,2,1,4,2,4,4,4,5,4,4,5,4,0,0,0,1,2,0
"50",21,1454,2,2,2,3,5,2,5,5,2,3,3,1,3,5,0,0,1,1,0,0
"54",35,775,2,3,2,4,4,2,4,4,4,4,3,4,1,4,1,0,1,1,0,0
"55",60,861,2,2,2,3,1,3,4,4,4,2,4,4,4,4,10,10,0,1,0,0
"67",38,190,2,4,2,3,4,2,4,4,3,2,4,4,5,4,0,0,1,1,0,0
"75",45,909,3,5,3,2,1,3,1,1,4,4,5,3,4,1,0,0,1,1,0,0
"78",64,1259,4,5,4,2,2,4,2,2,4,5,3,4,4,2,20,5,1,1,0,1
"87",57,500,3,5,3,2,3,4,5,5,5,3,5,4,5,5,0,0,0,1,1,0
"88",44,689,3,5,3,4,5,3,2,5,4,4,5,3,5,5,0,0,1,1,0,0
"98",19,342,3,1,3,2,3,3,3,3,2,1,3,1,3,3,0,0,1,1,2,0
"103",29,748,2,5,2,2,5,2,1,5,4,2,4,3,5,5,0,0,0,1,0,0
"106",15,551,3,4,3,3,4,3,4,4,1,1,4,2,1,4,3,0,0,1,0,0
"110",26,1144,3,5,2,2,4,2,4,4,5,4,5,3,5,4,0,0,0,1,0,0
"116",15,235,2,4,2,1,1,2,1,1,3,3,4,4,4,1,1,10,1,1,0,0
"117",52,689,2,5,2,3,3,2,3,3,1,1,2,2,2,3,0,0,1,1,0,0
"123",11,335,1,5,1,3,3,1,3,3,4,2,4,5,5,3,0,0,1,1,0,0
"129",22,618,3,5,3,2,3,3,3,3,4,5,4,5,5,3,0,0,1,1,0,0
"141",58,2475,4,4,4,3,4,1,1,3,3,3,4,1,3,1,29,10,0,1,0,1
"142",12,978,4,5,4,5,1,4,1,1,3,4,4,5,4,1,0,0,1,1,0,0
"144",58,371,3,5,5,1,2,3,5,1,1,5,1,3,1,3,0,0,0,1,2,0
"146",68,480,3,4,3,3,5,3,5,5,2,4,3,4,4,5,7,6,1,1,0,0
"150",54,844,4,5,5,2,2,4,4,3,3,5,3,3,3,4,0,0,0,1,2,0
"160",42,728,2,3,2,3,5,3,4,3,3,2,3,3,3,2,0,3,0,1,0,0
"164",51,719,3,5,2,4,3,5,4,4,4,2,4,4,4,3,19,0,0,1,0,0
"168",24,1660,2,1,2,3,3,2,5,3,1,4,2,2,2,3,0,2,0,1,0,0
"173",48,844,3,4,4,3,4,4,4,4,4,4,4,3,4,3,0,1,0,1,0,0
"183",47,1023,2,3,3,3,5,3,3,4,4,3,1,3,4,4,0,0,0,1,0,0
"185",40,1325,4,4,4,3,1,4,1,1,4,2,4,5,5,1,0,9,0,1,0,0
"186",56,2556,1,4,1,3,3,3,1,5,5,1,5,1,5,2,0,0,0,1,0,0
"189",12,817,2,3,2,2,1,2,1,1,1,3,5,3,2,1,0,0,1,1,2,0
"190",59,516,4,5,3,4,1,3,1,1,5,3,4,5,4,1,3,0,1,1,0,1
"192",12,462,2,4,2,3,2,2,2,2,3,4,2,2,1,2,0,0,1,1,0,0
"194",37,125,3,2,3,3,2,3,2,2,3,3,3,4,3,2,6,4,0,1,0,0
"205",16,1379,2,5,2,2,2,2,2,2,5,2,4,3,5,2,2,0,0,1,0,0
"207",45,666,2,5,2,4,4,2,4,4,4,5,5,4,5,4,0,0,1,1,0,0
"209",49,577,2,5,2,2,3,4,5,1,1,2,1,4,1,3,23,2,0,1,0,0
